,,,Substation_1,Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Full_name,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
Altentreptow/Sued - Malchow 518,11T0-0000-0010-O,50HERTZ,Altentreptow/Sued,Malchow,400,,,,,,,2040,,,3.09,33.95,553.23,131.26,
Neuenhagen - Malchow 520,11TD8L520------P,50HERTZ,Neuenhagen,Malchow,400,,,,,,,2040,,,0.57,6.21,101.13,23.99,
Wustermark - Ragow 521-525,11TD8L521-525--G,50HERTZ,Wustermark,Ragow,400,,,,,,,2504,,,4.00,32.63,585.44,130.74,
Thyrow - Ragow 522,11TD8L522------9,50HERTZ,Thyrow,Ragow,400,,,,,,,2504,,,1.95,15.38,277.97,61.80,
Wustermark - Thyrow 526,11TD8L526------E,50HERTZ,Wustermark,Thyrow,220,,,,,,,1290,,,2.06,17.31,312.53,69.44,
Foerderstedt - Ragow 531,11TD8L531------8,50HERTZ,Foerderstedt,Ragow,400,,,,,,,2520,,,4.99,46.70,765.61,179.43,
Foerderstedt - Jessen/Nord 533,11T0-0000-0042-6,50HERTZ,Foerderstedt,Jessen/Nord,400,,,,,,,2520,,,3.25,30.49,527.10,117.50,
Lauchstaedt - Wolmirstedt 535,11TD8L535------D,50HERTZ,Lauchstaedt,Wolmirstedt,400,,,,,,,2520,,,5.43,40.69,676.70,155.36,
Wolmirstedt - Klostermansfeld 536,11TD8L536------5,50HERTZ,Wolmirstedt,Klostermansfeld,400,,,,,,,2520,,,3.88,30.28,504.01,117.19,
Klostermansfeld - Lauchstaedt 538,11TD8L538------Q,50HERTZ,Klostermansfeld,Lauchstaedt,400,,,,,,,2500,,,1.38,10.08,169.61,38.77,
Ragow - Preilack 539,11TD8L539------I,50HERTZ,Ragow,Preilack,400,,,,,,,2280,,,1.35,10.83,191.57,43.16,
Ragow - Preilack 540,11TD8L540------7,50HERTZ,Ragow,Preilack,400,,,,,,,2280,,,1.35,10.83,191.57,43.16,
Graustein - Preilack 541,11TD8L541-----0Y,50HERTZ,Graustein,Preilack,400,,,,,,,2000,,,2.01,15.87,269.14,62.46,
Graustein - Preilack 542,11TD8L542------S,50HERTZ,Graustein,Preilack,400,,,,,,,2000,,,2.01,15.87,269.14,62.46,
Bentwisch - Guestrow 543,11TD8L543------K,50HERTZ,Bentwisch,Guestrow,400,,,,,,,2720,,,0.91,9.00,157.33,35.56,
Bentwisch - Guestrow 544,11TD8L544------C,50HERTZ,Bentwisch,Guestrow,400,,,,,,,2720,,,0.91,9.00,157.33,35.56,
Eisenhuettenstadt (Abzweig) - Eisenhuettenstadt 547-2,11TD8L547------P,50HERTZ,Eisenhuettenstadt (Abzweig),Eisenhuettenstadt,400,,,,,,,1200,,,0.50,1.82,34.62,7.53,
Eisenhuettenstadt (Abzweig) - Preilack 547-1,11TD8L547------P,50HERTZ,Eisenhuettenstadt (Abzweig),Preilack,400,,,,,,,2280,,,1.42,9.63,170.87,38.48,
Neuenhagen - Heinersdorf 444,11TD8L547------P,50HERTZ,Neuenhagen,Heinersdorf,400,,,,,,,2504,,,1.54,10.45,186.07,41.71,
Neuenhagen - Eisenhuettenstadt (Abzweig) 547,11TD8L547------P,50HERTZ,Neuenhagen,Eisenhuettenstadt (Abzweig),400,,,,,,,2504,,,3.22,21.79,385.98,87.00,
Eisenhuettenstadt (Abzweig) - Eisenhuettenstadt 548-2,11T0000000000023,50HERTZ,Eisenhuettenstadt (Abzweig),Eisenhuettenstadt,400,,,,,,,1200,,,0.50,1.82,34.62,7.53,
Eisenhuettenstadt (Abzweig) - Preilack 548-1,11T0000000000023,50HERTZ,Eisenhuettenstadt (Abzweig),Preilack,400,,,,,,,2280,,,1.42,9.63,170.87,38.48,
Eisenhuettenstadt (Abzweig) - Heinersdorf 548-1,11T0000000000023,50HERTZ,Eisenhuettenstadt (Abzweig),Heinersdorf,400,,,,,,,2504,,,1.67,11.33,200.75,45.25,
Baerwalde - Schmoelln 551,11TD8L551------R,50HERTZ,Baerwalde,Schmoelln,400,,,,,,,3150,,,0.74,11.51,218.97,45.91,
Baerwalde - Schmoelln 552,11TD8L552------J,50HERTZ,Baerwalde,Schmoelln,400,,,,,,,3150,,,0.74,11.51,218.97,45.91,
Hagenwerder - Schmoelln 553,11TD8L553------B,50HERTZ,Hagenwerder,Schmoelln,400,,,,,,,2500,,,1.65,14.50,252.30,56.66,
Hagenwerder - Schmoelln 554,11TD8L554------3,50HERTZ,Hagenwerder,Schmoelln,400,,,,,,,2500,,,1.65,14.50,252.30,56.66,
Schmoelln - Dresden/Sued 555,11TD8L555------W,50HERTZ,Schmoelln,Dresden/Sued,400,,,,,,,2500,,,1.00,9.39,163.05,36.55,
Schmoelln - Dresden/Sued 556,11TD8L556------O,50HERTZ,Schmoelln,Dresden/Sued,400,,,,,,,2500,,,1.00,9.39,163.05,36.55,
Baerwalde - Streumen 557,11TD8L557------G,50HERTZ,Baerwalde,Streumen,400,,,,,,,2520,,,2.58,24.18,404.35,93.78,
Baerwalde - Streumen 558,11TD8L558------8,50HERTZ,Baerwalde,Streumen,400,,,,,,,2520,,,2.58,24.18,404.35,93.78,
Preilack - Altdoebern 559,11TD8L559------0,50HERTZ,Preilack,Altdoebern,400,,,,,,,2520,,,1.25,13.43,224.09,50.51,
Preilack - Streumen 560,11TD8L560------Q,50HERTZ,Preilack,Streumen,400,,,,,,,2520,,,3.00,32.39,537.90,121.22,
Altdoebern- Streumen 563,11TD8L563------0,50HERTZ,Altdoebern,Streumen,400,,,,,,,2520,,,1.75,18.85,312.27,70.53,
Ragow - Streumen 561,11T0-0000-0043-3,50HERTZ,Ragow,Streumen,400,,,,,,,2040,,,2.94,22.61,385.00,88.72,
Ragow - Streumen 562,11TD8L562------A,50HERTZ,Ragow,Streumen,400,,,,,,,2040,,,2.94,22.61,385.00,88.72,
Graustein - Baerwalde 565,11TD8L565------N,50HERTZ,Graustein,Baerwalde,400,,,,,,,,2520,3150,0.67,5.59,96.42,21.80,
Graustein - Baerwalde 566,11TD8L566------F,50HERTZ,Graustein,Baerwalde,400,,,,,,,,2520,3150,0.67,5.59,96.42,21.80,
Streumen - Roehrsdorf 571,11TD8L571------9,50HERTZ,Streumen,Roehrsdorf,400,,,,,,,,2504,3150,2.65,19.84,385.79,82.81,
Streumen - Roehrsdorf 572,11TD8L572------1,50HERTZ,Streumen,Roehrsdorf,400,,,,,,,,2504,3150,2.65,19.84,385.79,82.81,
Remptendorf - Roehrsdorf 573-575,11TD8L574------M,50HERTZ,Remptendorf,Roehrsdorf,400,,,,,,,2504,,,4.27,25.79,459.83,103.40,
Streumen - Eula 585,11TD8L585------5,50HERTZ,Streumen,Eula,400,,,,,,,2520,,,2.95,22.14,356.70,84.36,
Streumen - Eula 586,11TD8L586------Y,50HERTZ,Streumen,Eula,400,,,,,,,2520,,,2.95,22.14,356.70,84.36,
Eula - Pulgar 587,11TD8L587------Q,50HERTZ,Eula,Pulgar,400,,,,,,,2720,,,0.76,4.99,90.85,20.19,
Eula - Pulgar 588,11TD8L588------I,50HERTZ,Eula,Pulgar,400,,,,,,,2720,,,0.76,4.99,90.85,20.19,
Pulgar - Vieselbach 589,11TD8L589------A,50HERTZ,Pulgar,Vieselbach,400,,,,,,,2520,,,3.26,27.31,441.08,104.40,
Pulgar - Vieselbach 590,11TD8L590-----0Y,50HERTZ,Pulgar,Vieselbach,400,,,,,,,2520,,,3.26,27.31,441.08,104.40,
Dresden/Sued - Roehrsdorf 591,11TD8L591------S,50HERTZ,Dresden/Sued,Roehrsdorf,400,,,,,,,2520,,,2.23,22.06,380.60,85.37,
Dresden/Sued - Freiberg/Nord 592,11TD8L592------K,50HERTZ,Dresden/Sued,Freiberg/Nord,400,,,,,,,2520,,,1.17,12.37,212.97,47.77,
Freiberg/Nord - Roehrsdorf 594,11TD8L594------4,50HERTZ,Freiberg/Nord,Roehrsdorf,400,,,,,,,2520,,,1.05,9.69,167.57,37.59,
Putlitz/Sued - Perleberg - Putlitz 596,11TD8L596------P,50HERTZ,Putlitz/Sued,Perleberg - Putlitz,400,,,,,,,2520,,,0.97,8.75,146.34,34.21,
Reuter - Mitte 903,11TD8L903------G,50HERTZ,Reuter,Mitte,400,,,,,,,1620,,,0.27,2.37,769.69,10.69,
Reuter - Charlottenburg 904,11TD8L904------8,50HERTZ,Reuter,Charlottenburg,400,,,,,,,1620,,,0.13,1.27,235.62,5.27,
